2023-12-25 07:54:29.543 , d85d3fa9-05fe-4b57-b5d2-5da459c5a337 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.543 , d85d3fa9-05fe-4b57-b5d2-5da459c5a337 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.544 , d85d3fa9-05fe-4b57-b5d2-5da459c5a337 , SELL, Qty :1 , Price : 99-311, State : RECEIVED

2023-12-25 07:54:29.544 , 3751afa1-3360-4841-a325-c74f1d24d8e2 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.545 , 3751afa1-3360-4841-a325-c74f1d24d8e2 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.545 , 3751afa1-3360-4841-a325-c74f1d24d8e2 , SELL, Qty :1 , Price : 99-29+, State : RECEIVED

2023-12-25 07:54:29.546 , 884f2c88-4890-4563-974e-0da95614782a , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.546 , 884f2c88-4890-4563-974e-0da95614782a , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.547 , 884f2c88-4890-4563-974e-0da95614782a , BUY, Qty :0 , Price : 101-245, State : RECEIVED

2023-12-25 07:54:29.547 , ae69df3f-a6af-4137-9a28-6f638a059441 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.548 , ae69df3f-a6af-4137-9a28-6f638a059441 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.548 , ae69df3f-a6af-4137-9a28-6f638a059441 , SELL, Qty :1 , Price : 99-236, State : RECEIVED

2023-12-25 07:54:29.548 , f8bb4083-7e68-4101-af10-58ba496804d1 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.549 , f8bb4083-7e68-4101-af10-58ba496804d1 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.549 , f8bb4083-7e68-4101-af10-58ba496804d1 , SELL, Qty :1 , Price : 101-21+, State : RECEIVED

2023-12-25 07:54:29.550 , 3cd4ac6d-e1da-4173-a160-7fce20fe783b , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.550 , 3cd4ac6d-e1da-4173-a160-7fce20fe783b , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.550 , 3cd4ac6d-e1da-4173-a160-7fce20fe783b , BUY, Qty :0 , Price : 101-26+, State : RECEIVED

2023-12-25 07:54:29.551 , 009e4bbe-e3c9-49a9-8adc-0bac73bb2855 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.551 , 009e4bbe-e3c9-49a9-8adc-0bac73bb2855 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.552 , 009e4bbe-e3c9-49a9-8adc-0bac73bb2855 , SELL, Qty :1 , Price : 99-16, State : RECEIVED

2023-12-25 07:54:29.552 , 94b5f86f-5f94-4547-bf8a-070816cb27ae , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.553 , 94b5f86f-5f94-4547-bf8a-070816cb27ae , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.553 , 94b5f86f-5f94-4547-bf8a-070816cb27ae , BUY, Qty :0 , Price : 99-206, State : RECEIVED

2023-12-25 07:54:29.554 , 8cda948d-94ec-4756-8019-3cc1624d1c1b , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.554 , 8cda948d-94ec-4756-8019-3cc1624d1c1b , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.555 , 8cda948d-94ec-4756-8019-3cc1624d1c1b , SELL, Qty :1 , Price : 99-201, State : RECEIVED

2023-12-25 07:54:29.555 , 7b6b82c8-d838-4450-942c-ff868889d899 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.556 , 7b6b82c8-d838-4450-942c-ff868889d899 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.556 , 7b6b82c8-d838-4450-942c-ff868889d899 , SELL, Qty :1 , Price : 101-04, State : RECEIVED

2023-12-25 07:54:29.556 , 52c5189c-3d3d-4468-bec5-809f7b3b9545 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.557 , 52c5189c-3d3d-4468-bec5-809f7b3b9545 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.557 , 52c5189c-3d3d-4468-bec5-809f7b3b9545 , SELL, Qty :1 , Price : 99-197, State : RECEIVED

2023-12-25 07:54:29.557 , 8f83bb70-d93f-4422-9d9e-4b30513834c1 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.558 , 8f83bb70-d93f-4422-9d9e-4b30513834c1 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.558 , 8f83bb70-d93f-4422-9d9e-4b30513834c1 , SELL, Qty :1 , Price : 101-135, State : RECEIVED

2023-12-25 07:54:29.559 , ca3ec634-0c67-4206-8757-e329c76a1049 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.559 , ca3ec634-0c67-4206-8757-e329c76a1049 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.559 , ca3ec634-0c67-4206-8757-e329c76a1049 , SELL, Qty :1 , Price : 101-071, State : RECEIVED

2023-12-25 07:54:29.560 , 558202b2-ac90-4ab8-92ee-dec83749ffc6 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.560 , 558202b2-ac90-4ab8-92ee-dec83749ffc6 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.560 , 558202b2-ac90-4ab8-92ee-dec83749ffc6 , SELL, Qty :1 , Price : 100-013, State : RECEIVED

2023-12-25 07:54:29.561 , 7b8df46c-6d32-46b9-86ef-9096200ad289 , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.561 , 7b8df46c-6d32-46b9-86ef-9096200ad289 , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.562 , 7b8df46c-6d32-46b9-86ef-9096200ad289 , BUY, Qty :0 , Price : 101-212, State : RECEIVED

2023-12-25 07:54:29.562 , 5ec80185-c731-4b29-a49f-3af8291264dd , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.563 , 5ec80185-c731-4b29-a49f-3af8291264dd , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.563 , 5ec80185-c731-4b29-a49f-3af8291264dd , BUY, Qty :0 , Price : 101-08+, State : RECEIVED

2023-12-25 07:54:29.564 , d21b7538-97f2-4ef4-91a1-7945299a084c , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.564 , d21b7538-97f2-4ef4-91a1-7945299a084c , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.564 , d21b7538-97f2-4ef4-91a1-7945299a084c , SELL, Qty :1 , Price : 100-25, State : RECEIVED

2023-12-25 07:54:29.565 , 865aebb3-51c8-49ea-bf36-9d12b9293cc6 , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.565 , 865aebb3-51c8-49ea-bf36-9d12b9293cc6 , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.565 , 865aebb3-51c8-49ea-bf36-9d12b9293cc6 , BUY, Qty :0 , Price : 101-011, State : RECEIVED

2023-12-25 07:54:29.566 , 72086895-da59-450e-ab08-53b9cc813f78 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.566 , 72086895-da59-450e-ab08-53b9cc813f78 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.566 , 72086895-da59-450e-ab08-53b9cc813f78 , SELL, Qty :1 , Price : 99-147, State : RECEIVED

2023-12-25 07:54:29.567 , 616acf19-1893-4397-988c-4e051d18792d , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.567 , 616acf19-1893-4397-988c-4e051d18792d , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.567 , 616acf19-1893-4397-988c-4e051d18792d , SELL, Qty :1 , Price : 100-085, State : RECEIVED

2023-12-25 07:54:29.568 , 8efee2af-dcb0-42c7-a2d4-c7ccc9860e30 , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.568 , 8efee2af-dcb0-42c7-a2d4-c7ccc9860e30 , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.569 , 8efee2af-dcb0-42c7-a2d4-c7ccc9860e30 , BUY, Qty :0 , Price : 100-052, State : RECEIVED

2023-12-25 07:54:29.569 , d93e8023-d7d0-4f28-9a2a-d1d70276c9d1 , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.570 , d93e8023-d7d0-4f28-9a2a-d1d70276c9d1 , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.570 , d93e8023-d7d0-4f28-9a2a-d1d70276c9d1 , BUY, Qty :0 , Price : 101-086, State : RECEIVED

2023-12-25 07:54:29.571 , 9ae69dfe-63ca-4b06-a2c4-807c43dbcea3 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.571 , 9ae69dfe-63ca-4b06-a2c4-807c43dbcea3 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.571 , 9ae69dfe-63ca-4b06-a2c4-807c43dbcea3 , SELL, Qty :1 , Price : 100-007, State : RECEIVED

2023-12-25 07:54:29.572 , 4a6de8b3-5a02-4cd9-b437-ad9fa69b4305 , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.572 , 4a6de8b3-5a02-4cd9-b437-ad9fa69b4305 , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.572 , 4a6de8b3-5a02-4cd9-b437-ad9fa69b4305 , BUY, Qty :0 , Price : 100-306, State : RECEIVED

2023-12-25 07:54:29.573 , 163062fb-b00e-45b2-9e74-eaa1f7117433 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.573 , 163062fb-b00e-45b2-9e74-eaa1f7117433 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.574 , 163062fb-b00e-45b2-9e74-eaa1f7117433 , SELL, Qty :1 , Price : 100-025, State : RECEIVED

2023-12-25 07:54:29.574 , e233ac90-d46c-48b1-bad8-68cf3ad8bcf7 , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.575 , e233ac90-d46c-48b1-bad8-68cf3ad8bcf7 , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.575 , e233ac90-d46c-48b1-bad8-68cf3ad8bcf7 , BUY, Qty :0 , Price : 100-13, State : RECEIVED

2023-12-25 07:54:29.576 , 03dd08f1-3007-4b83-a3c5-ea8e94371754 , SELL, Qty :1 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.576 , 03dd08f1-3007-4b83-a3c5-ea8e94371754 , SELL, Qty :1 , Price : 100-00, State : DONE

2023-12-25 07:54:29.576 , 03dd08f1-3007-4b83-a3c5-ea8e94371754 , SELL, Qty :1 , Price : 101-236, State : RECEIVED

2023-12-25 07:54:29.577 , 7868a102-ac5e-472c-a82e-4ac02e678e72 , BUY, Qty :0 , Price : 100-00, State : QUOTED

2023-12-25 07:54:29.577 , 7868a102-ac5e-472c-a82e-4ac02e678e72 , BUY, Qty :0 , Price : 100-00, State : DONE

2023-12-25 07:54:29.578 , 7868a102-ac5e-472c-a82e-4ac02e678e72 , BUY, Qty :0 , Price : 99-22+, State : RECEIVED

2023-12-25 07:54:29.578 , aa15f31b-d2ca-4084-82dd-046b0d3c1dec , SELL, Qty :1 , Price : 100-00, State : QUOTED

