2023-12-25 07:55:24.272 , MJFVHBOV , Side:BID , Price:98.996094 , Qty:10000000.000000

2023-12-25 07:55:24.273 , ADIFMKVN , Side:OFFER , Price:99.003906 , Qty:10000000.000000

2023-12-25 07:55:24.274 , SBGZVOXN , Side:BID , Price:98.996094 , Qty:10000000.000000

2023-12-25 07:55:24.275 , HOYCSOXW , Side:OFFER , Price:99.003906 , Qty:10000000.000000

2023-12-25 07:55:24.275 , IRTOFSIX , Side:BID , Price:98.996094 , Qty:10000000.000000

2023-12-25 07:55:24.276 , ENHFHJIX , Side:OFFER , Price:99.003906 , Qty:10000000.000000

2023-12-25 07:55:24.276 , VHEWKQJG , Side:BID , Price:98.996094 , Qty:10000000.000000

2023-12-25 07:55:24.277 , TUJGRRCH , Side:OFFER , Price:99.007812 , Qty:10000000.000000

2023-12-25 07:55:24.278 , TBZLJSTM , Side:BID , Price:99.000000 , Qty:10000000.000000

2023-12-25 07:55:24.278 , AACVQMMN , Side:OFFER , Price:99.007812 , Qty:10000000.000000

2023-12-25 07:55:24.279 , BYIWJLYK , Side:BID , Price:99.000000 , Qty:10000000.000000

2023-12-25 07:55:24.279 , PZMEZJAR , Side:OFFER , Price:99.007812 , Qty:10000000.000000

2023-12-25 07:55:24.280 , ODZBNJGI , Side:BID , Price:99.000000 , Qty:10000000.000000

2023-12-25 07:55:24.280 , TRWTBTXO , Side:OFFER , Price:99.007812 , Qty:10000000.000000

2023-12-25 07:55:24.281 , OGGTBRHL , Side:BID , Price:99.003906 , Qty:10000000.000000

2023-12-25 07:55:24.282 , KJHNCXWA , Side:OFFER , Price:99.011719 , Qty:10000000.000000

2023-12-25 07:55:24.282 , XJJMYWYJ , Side:BID , Price:99.003906 , Qty:10000000.000000

2023-12-25 07:55:24.283 , THBZVYOS , Side:OFFER , Price:99.011719 , Qty:10000000.000000

2023-12-25 07:55:24.284 , PWTQWKLW , Side:BID , Price:99.003906 , Qty:10000000.000000

2023-12-25 07:55:24.285 , LHUEJEDL , Side:OFFER , Price:99.011719 , Qty:10000000.000000

2023-12-25 07:55:24.286 , TWURICIE , Side:BID , Price:99.003906 , Qty:10000000.000000

2023-12-25 07:55:24.286 , ZKDXVEFB , Side:OFFER , Price:99.015625 , Qty:10000000.000000

2023-12-25 07:55:24.287 , BESSQDGH , Side:BID , Price:99.007812 , Qty:10000000.000000

2023-12-25 07:55:24.288 , ORQTFJIO , Side:OFFER , Price:99.015625 , Qty:10000000.000000

2023-12-25 07:55:24.289 , MILARTJN , Side:BID , Price:99.007812 , Qty:10000000.000000

2023-12-25 07:55:24.290 , HTXVNMEP , Side:OFFER , Price:99.015625 , Qty:10000000.000000

2023-12-25 07:55:24.290 , OUXOSPBO , Side:BID , Price:99.007812 , Qty:10000000.000000

2023-12-25 07:55:24.291 , TUBVHETO , Side:OFFER , Price:99.015625 , Qty:10000000.000000

2023-12-25 07:55:24.291 , ISNVJRSG , Side:BID , Price:99.011719 , Qty:10000000.000000

