2023-12-25 07:54:54.065 , 91282CJL6 , TRSY1:0 , TRSY2:0 , TRSY3:1000000 , Aggregated: 1000000

2023-12-25 07:54:54.066 , 91282CJL6 , TRSY1:0 , TRSY2:-2000000 , TRSY3:0 , Aggregated: -2000000

2023-12-25 07:54:54.067 , 91282CJL6 , TRSY1:3000000 , TRSY2:0 , TRSY3:0 , Aggregated: 3000000

2023-12-25 07:54:54.067 , 91282CJL6 , TRSY1:0 , TRSY2:0 , TRSY3:-4000000 , Aggregated: -4000000

2023-12-25 07:54:54.068 , 91282CJL6 , TRSY1:0 , TRSY2:5000000 , TRSY3:0 , Aggregated: 5000000

2023-12-25 07:54:54.069 , 91282CJL6 , TRSY1:0 , TRSY2:0 , TRSY3:-1000000 , Aggregated: -1000000

2023-12-25 07:54:54.070 , 91282CJL6 , TRSY1:0 , TRSY2:2000000 , TRSY3:0 , Aggregated: 2000000

2023-12-25 07:54:54.071 , 91282CJL6 , TRSY1:-3000000 , TRSY2:0 , TRSY3:0 , Aggregated: -3000000

2023-12-25 07:54:54.072 , 91282CJL6 , TRSY1:0 , TRSY2:4000000 , TRSY3:0 , Aggregated: 4000000

2023-12-25 07:54:54.072 , 91282CJL6 , TRSY1:-5000000 , TRSY2:0 , TRSY3:0 , Aggregated: -5000000

2023-12-25 07:54:54.074 , 91282CJP7 , TRSY1:0 , TRSY2:1000000 , TRSY3:0 , Aggregated: 1000000

2023-12-25 07:54:54.075 , 91282CJP7 , TRSY1:0 , TRSY2:0 , TRSY3:-2000000 , Aggregated: -2000000

2023-12-25 07:54:54.075 , 91282CJP7 , TRSY1:0 , TRSY2:0 , TRSY3:3000000 , Aggregated: 3000000

2023-12-25 07:54:54.076 , 91282CJP7 , TRSY1:0 , TRSY2:0 , TRSY3:-4000000 , Aggregated: -4000000

2023-12-25 07:54:54.077 , 91282CJP7 , TRSY1:0 , TRSY2:5000000 , TRSY3:0 , Aggregated: 5000000

2023-12-25 07:54:54.077 , 91282CJP7 , TRSY1:0 , TRSY2:0 , TRSY3:-1000000 , Aggregated: -1000000

