2023-12-25 07:54:54.064 , 91282CJL6 ,  PV01: 0.018443 , Qty: 1000000

2023-12-25 07:54:54.065 , 91282CJL6 ,  PV01: 0.018443 , Qty: -1000000

2023-12-25 07:54:54.066 , 91282CJL6 ,  PV01: 0.018443 , Qty: 2000000

2023-12-25 07:54:54.067 , 91282CJL6 ,  PV01: 0.018443 , Qty: -2000000

2023-12-25 07:54:54.068 , 91282CJL6 ,  PV01: 0.018443 , Qty: 3000000

2023-12-25 07:54:54.069 , 91282CJL6 ,  PV01: 0.018443 , Qty: 2000000

2023-12-25 07:54:54.070 , 91282CJL6 ,  PV01: 0.018443 , Qty: 4000000

2023-12-25 07:54:54.070 , 91282CJL6 ,  PV01: 0.018443 , Qty: 1000000

2023-12-25 07:54:54.071 , 91282CJL6 ,  PV01: 0.018443 , Qty: 5000000

2023-12-25 07:54:54.072 , 91282CJL6 ,  PV01: 0.018443 , Qty: 0

2023-12-25 07:54:54.073 , 91282CJP7 ,  PV01: 0.027892 , Qty: 1000000

2023-12-25 07:54:54.074 , 91282CJP7 ,  PV01: 0.027892 , Qty: -1000000

2023-12-25 07:54:54.075 , 91282CJP7 ,  PV01: 0.027892 , Qty: 2000000

2023-12-25 07:54:54.076 , 91282CJP7 ,  PV01: 0.027892 , Qty: -2000000

2023-12-25 07:54:54.076 , 91282CJP7 ,  PV01: 0.027892 , Qty: 3000000

2023-12-25 07:54:54.077 , 91282CJP7 ,  PV01: 0.027892 , Qty: 2000000

2023-12-25 07:54:54.078 , 91282CJP7 ,  PV01: 0.027892 , Qty: 4000000

2023-12-25 07:54:54.078 , 91282CJP7 ,  PV01: 0.027892 , Qty: 1000000

2023-12-25 07:54:54.079 , 91282CJP7 ,  PV01: 0.027892 , Qty: 5000000

2023-12-25 07:54:54.080 , 91282CJP7 ,  PV01: 0.027892 , Qty: 0

2023-12-25 07:54:54.081 , 91282CJN2 ,  PV01: 0.045130 , Qty: 1000000

2023-12-25 07:54:54.082 , 91282CJN2 ,  PV01: 0.045130 , Qty: -1000000

2023-12-25 07:54:54.083 , 91282CJN2 ,  PV01: 0.045130 , Qty: 2000000

2023-12-25 07:54:54.084 , 91282CJN2 ,  PV01: 0.045130 , Qty: -2000000

2023-12-25 07:54:54.085 , 91282CJN2 ,  PV01: 0.045130 , Qty: 3000000

2023-12-25 07:54:54.086 , 91282CJN2 ,  PV01: 0.045130 , Qty: 2000000

2023-12-25 07:54:54.087 , 91282CJN2 ,  PV01: 0.045130 , Qty: 4000000

2023-12-25 07:54:54.088 , 91282CJN2 ,  PV01: 0.045130 , Qty: 1000000

2023-12-25 07:54:54.089 , 91282CJN2 ,  PV01: 0.045130 , Qty: 5000000

2023-12-25 07:54:54.090 , 91282CJN2 ,  PV01: 0.045130 , Qty: 0

2023-12-25 07:54:54.091 , 91282CJM4 ,  PV01: 0.061334 , Qty: 1000000

2023-12-25 07:54:54.092 , 91282CJM4 ,  PV01: 0.061334 , Qty: -1000000

2023-12-25 07:54:54.093 , 91282CJM4 ,  PV01: 0.061334 , Qty: 2000000

2023-12-25 07:54:54.093 , 91282CJM4 ,  PV01: 0.061334 , Qty: -2000000

2023-12-25 07:54:54.094 , 91282CJM4 ,  PV01: 0.061334 , Qty: 3000000

2023-12-25 07:54:54.095 , 91282CJM4 ,  PV01: 0.061334 , Qty: 2000000

2023-12-25 07:54:54.096 , 91282CJM4 ,  PV01: 0.061334 , Qty: 4000000

2023-12-25 07:54:54.097 , 91282CJM4 ,  PV01: 0.061334 , Qty: 1000000

2023-12-25 07:54:54.098 , 91282CJM4 ,  PV01: 0.061334 , Qty: 5000000

2023-12-25 07:54:54.099 , 91282CJM4 ,  PV01: 0.061334 , Qty: 0

2023-12-25 07:54:54.100 , 91282CJJ1 ,  PV01: 0.084100 , Qty: 1000000

2023-12-25 07:54:54.101 , 91282CJJ1 ,  PV01: 0.084100 , Qty: -1000000

2023-12-25 07:54:54.102 , 91282CJJ1 ,  PV01: 0.084100 , Qty: 2000000

2023-12-25 07:54:54.103 , 91282CJJ1 ,  PV01: 0.084100 , Qty: -2000000

2023-12-25 07:54:54.104 , 91282CJJ1 ,  PV01: 0.084100 , Qty: 3000000

2023-12-25 07:54:54.105 , 91282CJJ1 ,  PV01: 0.084100 , Qty: 2000000

2023-12-25 07:54:54.105 , 91282CJJ1 ,  PV01: 0.084100 , Qty: 4000000

2023-12-25 07:54:54.106 , 91282CJJ1 ,  PV01: 0.084100 , Qty: 1000000

